borough,month,hour,is_rush_hour,is_weekend,cause_category,vehicle_type,target
BRONX,5,23,0,0,Human_Error,SEDAN,1
BROOKLYN,10,7,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,5,18,1,0,Human_Error,SEDAN,0
UNKNOWN,3,12,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,4,14,0,1,Other_Unknown,MOTORCYCLE,0
UNKNOWN,3,1,0,1,Distraction,PICK-UP TRUCK,0
MANHATTAN,4,8,1,1,Other_Unknown,BUS,0
BROOKLYN,5,12,0,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,3,10,0,1,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,0
BROOKLYN,7,15,0,0,Distraction,SEDAN,1
BROOKLYN,12,21,0,0,Road_Conditions,STATION WAGON/SPORT UTILITY VEHICLE,0
BRONX,5,18,1,0,Other_Unknown,SEDAN,0
BROOKLYN,9,21,0,1,Other_Unknown,SEDAN,0
BROOKLYN,12,12,0,0,Human_Error,SEDAN,0
MANHATTAN,7,15,0,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,5,21,0,1,Distraction,SEDAN,1
UNKNOWN,9,11,0,0,Human_Error,TAXI,1
QUEENS,6,14,0,0,Other_Unknown,PICK-UP TRUCK,0
QUEENS,6,20,0,1,Other_Unknown,SEDAN,0
STATEN ISLAND,5,7,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,1
BROOKLYN,4,15,0,0,Other_Unknown,SEDAN,1
UNKNOWN,5,8,1,0,Aggressive_Driving,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,6,7,1,0,Other_Unknown,SEDAN,0
UNKNOWN,6,20,0,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,1
MANHATTAN,5,14,0,0,Human_Error,TAXI,0
BRONX,6,16,1,0,Other_Unknown,SEDAN,1
STATEN ISLAND,6,16,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
QUEENS,4,15,0,0,Aggressive_Driving,BIKE,1
UNKNOWN,6,15,0,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
UNKNOWN,9,16,1,1,Human_Error,SEDAN,0
UNKNOWN,4,13,0,0,Aggressive_Driving,SEDAN,0
MANHATTAN,5,18,1,0,Distraction,SEDAN,0
UNKNOWN,4,11,0,0,Other_Unknown,SEDAN,0
MANHATTAN,5,12,0,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,6,18,1,0,Other_Unknown,SEDAN,1
QUEENS,12,17,1,0,Other_Unknown,SEDAN,0
MANHATTAN,4,8,1,0,Distraction,STATION WAGON/SPORT UTILITY VEHICLE,0
QUEENS,12,12,0,0,Other_Unknown,SEDAN,0
QUEENS,12,8,1,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,4,1,0,0,Other_Unknown,BIKE,1
UNKNOWN,5,10,0,0,Aggressive_Driving,SEDAN,0
BROOKLYN,5,1,0,0,Other_Unknown,SEDAN,0
UNKNOWN,5,22,0,0,Aggressive_Driving,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,5,13,0,0,Human_Error,SEDAN,1
UNKNOWN,4,18,1,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,0
STATEN ISLAND,12,8,1,0,Human_Error,STATION WAGON/SPORT UTILITY VEHICLE,1
BRONX,12,16,1,1,Other_Unknown,SEDAN,0
UNKNOWN,4,22,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
UNKNOWN,12,17,1,0,Other_Unknown,OTHER,0
UNKNOWN,4,14,0,1,Other_Unknown,SEDAN,0
MANHATTAN,5,19,0,0,Other_Unknown,STATION WAGON/SPORT UTILITY VEHICLE,1
MANHATTAN,5,16,1,0,Other_Unknown,PICK-UP TRUCK,0
